"Country", "Data"
China,6418.768948
United States,5836.18713
Russia,1636.800958
India,1377.75561
Japan,1209.80787
Germany,822.768046
Canada,594.018072
United Kingdom,564.456614
"Korea, South",506.202992
Iran,491.010578
South Africa,455.151312
Italy,451.302976
Mexico,434.937028
France,415.715316
Saudi Arabia,414.420628
Australia,410.28969
Brazil,401.004678
Indonesia,380.286322
Spain,367.373814
Ukraine,329.252658
Poland,292.64903
Taiwan,289.8209
Netherlands,258.982028
Turkey,257.60053
Thailand,247.252482
Kazakhstan,175.239624
United Arab Emirates,171.177904
Egypt,169.129288
Argentina,163.075334
Venezuela,153.883766
